Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9ef59d66830879de9320752aef3618933aeb50c7973cb32381ada95d5e19700a,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.746506,51.246427,On or near Needhams Place,E01032858,Rushmoor 009F,Investigation complete; no suspect identified
6d6b50122fbc30f1b22414064d911a3549baedae076d431e6385c2947a12bf92,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.046703,51.132196,On or near Abbey Road,E01022596,East Hampshire 007E,Investigation complete; no suspect identified
bf221f3dd0954265fd17dd4f16ec171b5c2eea88512612cfa2900ba20df7e629,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.465015,50.936892,On or near Jerrett's Lane,E01023170,Test Valley 015A,Investigation complete; no suspect identified
ca86d5f3429a49bd90badbc578b3490a77299be147360104e8962617e5cf771e,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.019510,50.894668,On or near Mission Lane,E01022920,Havant 020B,Investigation complete; no suspect identified
cfa9340ebd6b5bd0a17f9a2fc906cfabfe975bb9423d5f5983d650181542aa7b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.082793,50.840742,On or near Supermarket,E01017054,Portsmouth 004A,Investigation complete; no suspect identified
ec293eceb9e81bac94f847e78d702b64610a2a549aa3dec5ba0b21b3b940dd4c,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.117920,50.794402,On or near Gosport Bus Station,E01032879,Gosport 008G,Investigation complete; no suspect identified
7593dc48e80ac44144e75ef9e7cb764451eeaf451a5520c12cba77a8f4195d9d,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.989788,50.942166,On or near Bee Orchid Close,E01022588,East Hampshire 013A,Investigation complete; no suspect identified
dd70e59a8a2eb5ea56fcc176dfe86d44b03a5f818c2858d325319aef674c9234,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.430668,50.926856,On or near Wordsworth Road,E01017250,Southampton 010B,Investigation complete; no suspect identified
9304681d191e91d118096001d2c27ea09f2a2ebc79d014a82e4d8979854ac707,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.479717,50.996776,On or near Fairview Drive,E01023176,Test Valley 010C,Investigation complete; no suspect identified
d9efadab5fbcb8a55d1508885e6c7872ba60f8e847b25e9e265812df51b736f1,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.109279,50.792196,On or near Bath Square,E01033380,Portsmouth 024E,Investigation complete; no suspect identified
293cb8c3dce5fb118e5dfd08f986a5ddb65a0e041911a5262bb501987d8a6f9a,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.294128,50.706582,On or near Bernard Way,E01017334,Isle of Wight 008E,Investigation complete; no suspect identified
4026b3bf5669b4c96aa4c119738757ce630be9b27c6a38a8c0881a0da4888dc1,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.791749,50.927135,On or near Supermarket,E01023022,New Forest 001D,Investigation complete; no suspect identified
dc13dd9ec332f39a83f85175069d4424c8747d24b4e9e6bcfbb35f4432f06f3b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.125086,51.256523,On or near Cleaver Road,E01022484,Basingstoke and Deane 013A,Investigation complete; no suspect identified
f672ed18a6e828b42bfd3281a92b19fbbe75a9b8312f78d8cb0eec96514d55e9,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.789634,51.292184,On or near Regiment Close,E01023093,Rushmoor 005B,Investigation complete; no suspect identified
c7d32114938308eadaca3565fae613a852db00177cd0a5f2a9e4fb02175300b0,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.213655,50.825347,On or near Supermarket,E01022776,Fareham 013B,Investigation complete; no suspect identified
3ff02ccf53bf3aeec22c831b4abff8e5c3ef9d6115294fc38dadb8f12761fe9b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.542895,50.754584,On or near Daniell's Close,E01023044,New Forest 023A,Investigation complete; no suspect identified
af5f32772c8d95d2d9bb2126da191d127b7b07ba1130f2f08724aedccee29769,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.363134,50.926238,On or near Edgehill Road,E01017176,Southampton 008C,Investigation complete; no suspect identified
fbc06c19375b66f90bbea9111a9a6f7563fd4e7cabd07a58c55bae348c9fa475,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.399265,50.922472,On or near Livingstone Road,E01017157,Southampton 017A,Investigation complete; no suspect identified
dacd8732540093548f2c8f78c288d809bfa300f459b007157c1348c16536af23,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.085711,50.820629,On or near Strode Road,E01017106,Portsmouth 010B,Investigation complete; no suspect identified
fea497dfb2188bf5bd5255a20fc90e68f9f3de9fb03434f83bab5171812f7a73,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.183978,50.833714,On or near Supermarket,E01032877,Fareham 013F,Investigation complete; no suspect identified
2e0c37de11502aebe3635b359636df52e7665dd22699163700860b1a2271c2ab,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.321829,50.895844,On or near Newman Road,E01022656,Eastleigh 013C,Investigation complete; no suspect identified
e0a9fcb81534dddce008f20aed9b20d12926a475761044dba97515c921907ead,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.060853,50.808606,On or near Supermarket,E01017016,Portsmouth 014B,Investigation complete; no suspect identified
2e96306b6c9f6e2c1741979a67bf34de73d33ec561530deb1087bc51708cb0f5,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.507544,51.306178,On or near School Close,E01023165,Test Valley 001A,Investigation complete; no suspect identified
a108f6b43a44944b893e5ed8a8692982327efd23cff724ca3cfbb204d08d5ecf,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.045253,50.821231,On or near Bilton Way,E01017046,Portsmouth 008B,Investigation complete; no suspect identified
afc0383332e88ce6fac9a75d0b232ff61255cb5de7eeed55a857cca49398958a,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.064442,50.816504,On or near Tokio Road,E01017014,Portsmouth 008A,Investigation complete; no suspect identified
52bc21a2c95ac66a813479c23a1665d5352da99d88d222dd0856fc273ff8afd4,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.303801,50.926268,On or near Haileybury Gardens,E01022703,Eastleigh 011E,Investigation complete; no suspect identified
525ae0a373189035647e8780cbb38f391ca6e00ab10fc3f588bd0468dc6ed3b6,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.244940,50.834600,On or near Triangle Lane,E01022781,Fareham 007A,Investigation complete; no suspect identified
71a1e0820f00cb68be536991fcb2cee60cce4c207601724d25f7d296e1921959,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.084693,50.811709,On or near Centaur Street,E01017102,Portsmouth 013D,Investigation complete; no suspect identified
b242744add18d832aa417aa305df8f818f377332db2fbb6c0aa558dbdd996a21,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.075371,50.803650,On or near Woodland Street,E01017077,Portsmouth 015B,Investigation complete; no suspect identified
b3ddbbbb7555e6a0144bb6ec2a635a3393fbdf569b70ced8b30ad9253e13566b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.089780,50.793890,On or near Radnor Street,E01017130,Portsmouth 018D,Investigation complete; no suspect identified
5c5ac9446d1e33eba6ad46bb475ab394372dfebc8a079d7c118133c160b21d5c,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.396212,50.915469,On or near Blackberry Terrace,E01017155,Southampton 022C,Investigation complete; no suspect identified
80f0dfd1100f6d6382a47aa7b898da0d8ce6a4e275725fad32758e97d338d2f6,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.288203,50.851841,On or near Dibles Road,E01022792,Fareham 006D,Investigation complete; no suspect identified
b6b2350348b6fa155f66a33bcd26b8534ee225f598bdee112dbc736279c4f802,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.416407,50.920329,On or near Atherley Court,E01017249,Southampton 011C,Investigation complete; no suspect identified
75a95ba8bf205e54e1211f7cccdccd3b88f419099860057061d588426b25bf37,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.673810,50.744619,On or near Byron Road,E01022981,New Forest 022A,Investigation complete; no suspect identified
1094dd2957efc537c8109a35fee94616b16823273d5257612cbf6e6baef5caad,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.299831,51.320569,On or near Park/Open Space,E01022488,Basingstoke and Deane 003A,Investigation complete; no suspect identified
b31d113f65744ff9ef0b858e07fca7a2bf6b0122f15a46d14f6c5b7fde4edaf1,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.976202,51.148317,On or near High Street,E01022576,East Hampshire 002C,Investigation complete; no suspect identified
48267f0ae662d548dd00f2a59777fd7a248d4fae56d6389024694ed1049c9a03,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.396123,50.868402,On or near Sir Christopher Court,E01023037,New Forest 011F,Investigation complete; no suspect identified
bf6132b299dcbce658a2cfebd50a1ac7ae658172255bde4899f2872314db7601,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.368213,50.886276,On or near International Way,E01017280,Southampton 032C,Investigation complete; no suspect identified
31c7d5df3aca4e7df0e412c95b86662a463bb0559b21d966aa48b4b9a3e49f3b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.407760,50.904423,On or near Shopping Area,E01017140,Southampton 023D,Investigation complete; no suspect identified
93198ff22bc987e3e25bea7e7fcad5c441a69961c3e1e3f18dc0465031a25a84,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.860501,51.121448,On or near Loweswater Gardens,E01022640,East Hampshire 004D,Investigation complete; no suspect identified
804a48abce12d56c24c7067a5e537e5573c3b06ee50d1ade372f800e8e5e52af,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.201842,50.845366,On or near Parking Area,E01022739,Fareham 011E,Investigation complete; no suspect identified
c12abc6949d4dfe8966fb75b9bf88dbe7c7ce19c0ee4637de596ff6ef0e4805b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.489956,50.919243,On or near South Parade,E01023077,New Forest 004B,Investigation complete; no suspect identified
8a3d42753f2b737cbfd93eb10a4510c900148df56103e32f38a34b764f0a4e4f,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.363379,50.932201,On or near Marlhill Close,E01017174,Southampton 008A,Offender given a caution
6042d9738676690082cd2c254500e1b88026bed5b59dbb624024f5af42bfe8c6,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.987277,50.872262,On or near Great Copse Drive,E01022969,Havant 008D,Investigation complete; no suspect identified
e3569951be9df36b2fafc79d225260bbc5b91cdffcc8ff7cd45dcf3d5e148e54,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.770406,50.841924,On or near Chard Lane,E01023069,New Forest 012C,Investigation complete; no suspect identified
25c7448183037757a7ddc5a595cf9efdace4c86b7af79e96f9b580342ca0d784,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.003036,50.871741,On or near Shawford Grove,E01022901,Havant 006A,Investigation complete; no suspect identified
1ce1585275252e8d939b7f1c47e4ce60fede7c8f9d9a92412d65982cc842750a,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.658352,50.753720,On or near Whitefield Road,E01023057,New Forest 021E,Investigation complete; no suspect identified
9ff8ad39c23220867477f82a75c6b542a3b75c1e4aee6ea6408c8c8cf39af33b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.760568,51.250250,On or near Sports/Recreation Area,E01023142,Rushmoor 008B,Investigation complete; no suspect identified
b7824c8a031ab3c23c7bb4309b6df0eb84953ca2917ff1846a71ece5ced578f9,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.392803,50.855957,On or near Hamilton Mews,E01023028,New Forest 011E,Investigation complete; no suspect identified
7b4a4d944fd420038b5eef47e0c9de9542445fb2800ec3e6bd785bef6a4b2682,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.066149,50.790726,On or near Mafeking Road,E01017023,Portsmouth 019A,Investigation complete; no suspect identified
981e380ebf78dda9f9d154ccfdff3482ebcab0d7b6c2b094fb22a380fc28d7f1,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.276410,50.862965,On or near Ilex Crescent,E01022751,Fareham 005B,Investigation complete; no suspect identified
1910e819344da504f7b9f025f1532649d312c37aa5c4598cf6bda2c29cfb7c37,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.742298,51.268350,On or near Alanbrooke Road,E01023140,Rushmoor 007G,Investigation complete; no suspect identified
5c421745c0493d8fc97b06b53e575306930d67be539fbb1f8c585ff0a3d3a071,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.077049,50.779466,On or near Supermarket,E01017073,Portsmouth 024A,Investigation complete; no suspect identified
83e7979626fe00b6b3496d93e15bc6657202660ff33d7ce84d5e16894b450c9b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.117955,50.794834,On or near Ferry Terminal,E01032879,Gosport 008G,Investigation complete; no suspect identified
9848d0af5af2b22bf1b6518566119b1c411fd6ff55949196da9d6fb37d84ad9a,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.173251,50.648898,On or near Manor Road,E01017318,Isle of Wight 016A,Investigation complete; no suspect identified
8d818538e31430642e91e29f6af1a5bee0a5a55fca49d739945a2158673264ed,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.392253,50.922346,On or near Thackeray Road,E01017227,Southampton 013A,Investigation complete; no suspect identified
ada477f908dbf9a0c21e345571dbae153dd59994a139848c47ea765ced6bfa71,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.767183,51.306886,On or near Carmarthen Close,E01023122,Rushmoor 002D,Suspect charged
6a923e138de95e9318d0094a35f18937e38ca63b97a71ebb4ad955ba720b70b1,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.791749,50.927135,On or near Supermarket,E01023022,New Forest 001D,Investigation complete; no suspect identified
c72ca9a3d0787e69b4329f8521439d3e2d0c493abcccfb02e6561087e46be70c,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.102665,50.796777,On or near St Georges Square,E01033383,Portsmouth 016H,Investigation complete; no suspect identified
0b5bbe1ae2ad135644931ff06cc1c8df15d9844ab6e294c43df12e5bc9e6e7fa,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.142937,50.796612,On or near Lavinia Road,E01022831,Gosport 010E,Investigation complete; no suspect identified
fd43e52f7a823f93ccfd54a1da1fa2fa1a6c859763619e05be676f831a060b8d,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.381521,50.900114,On or near Lower Vicarage Road,E01017219,Southampton 028B,Investigation complete; no suspect identified
ddc696a55de076e508aee31e50c1b2530715ed21b1fb32045c3732052c29cefa,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.372526,50.819196,On or near Pendleton Gardens,E01023029,New Forest 013A,Investigation complete; no suspect identified
f308dd276461f7bb448423d9dd421be7a59e60addfc862ec1b990cda0c567a85,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.379288,50.896973,On or near Cox's Lane,E01017276,Southampton 031C,Investigation complete; no suspect identified
7fe34a3e05171539398c8482f00cdc177533650975035008f6d72cc2daf80771,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.828382,51.119107,On or near Badgerswood Drive,E01022601,East Hampshire 017C,Investigation complete; no suspect identified
554bbffb0d76aff8d3806b1eaa166943a5a3e2886af68a74f9e4481fa2987121,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.339503,51.229945,On or near Supermarket,E01022564,Basingstoke and Deane 020C,Investigation complete; no suspect identified
58edddd95105cbffa779b6e69d7f7abfc3f561f80a6c56ff6d93fc760af671b7,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.278385,50.915439,On or near Parking Area,E01022652,Eastleigh 011A,Investigation complete; no suspect identified
38941eb2a216518e79bc48f7c8d4d2f8bf47de0bc43cba28e7565d892be76f17,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.179604,50.851714,On or near Bus/Coach Station,E01022723,Fareham 008C,Investigation complete; no suspect identified
6f00c4e87c3d882ece574c501b9b49349c3a205ca705527486457c4bd4c4c956,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.355240,50.894064,On or near Laxton Close,E01017263,Southampton 030D,Investigation complete; no suspect identified
78cc88eb5090662cdf0822d60a3590f4c2606dfcc3cb8e009faf812c423eec7a,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.007529,50.911087,On or near Dorset Close,E01022614,East Hampshire 014D,Investigation complete; no suspect identified
9c5acac4280fd29d9a958e3ddd1f56e47022796c1027e239c2ef6118d6a50f50,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.397076,50.912389,On or near Hospital,E01032750,Southampton 022G,Unable to prosecute suspect
d716a20c486282a93c821ba5cd194e4efd7ec89d7b3d438c83f98e21d9e104b7,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.937648,50.847235,On or near West Street,E01022929,Havant 013F,Investigation complete; no suspect identified
b750cd6fc2e700ecb7f284c52e29eb7b11fe52962f2a54dd4ebee1b237dc0036,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.676696,50.741282,On or near Western Avenue,E01022983,New Forest 022C,Investigation complete; no suspect identified
2b10b9002fe32ab20cb67b38b1354d8ab397be0e34e76161a3f20f0d592042a8,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.061172,50.806846,On or near Chasewater Avenue,E01017016,Portsmouth 014B,Investigation complete; no suspect identified
de95a540ba32db4c13cff4db71afd369e3340084c08c2ba0b76da6ac4042534c,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.363134,50.926238,On or near Edgehill Road,E01017176,Southampton 008C,Investigation complete; no suspect identified
7219c0d595a70f775b2d5321dfa2cef466099cc4f4dcd81a3d1a7e5fc78bdfde,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.477251,51.226109,On or near Claudius Close,E01023154,Test Valley 002B,Investigation complete; no suspect identified
